stem,image_exists,mask_exists,img_h,img_w,pixels,aspect_ratio,mask_h,mask_w,mask_coverage_x,mask_pixels_x,mask_size_class,same_size,touch_top,touch_bottom,touch_left,touch_right,touches_any_border,n_borders_touched,dx,label,label_name,mask_pixels_y,mask_coverage_y,equivalent_diameter_px,centroid_x,centroid_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_width,bbox_height,dataset,safe_id,image_path,xai_gradcam_path,xai_shap_path,xai_lime_path,model_prob_malignant,dx_xai,label_name_xai,pseudo_npz_path,preview_png_path,mask_pixels_224,asymmetry_mean,border_irregularity_mean,border_w8_dil2_sigma5_mean,border_w12_dil4_sigma8_mean,border_w16_dil6_sigma10_mean,border_w16_dil6_sigma10_dist_mean,colour_heterogeneity_mean
ISIC_0033299,True,True,450,600,270000,1.3333333333333333,450,600,0.6462407407407408,174485,normal,True,False,False,True,True,True,2,mel,1.0,malignant,174485,0.6462407407407408,471.33979458890894,309.33775969281027,213.9448032782188,0,20,599,412,600,393,ham10000,ham10000_ISIC_0033299,../data/ham10000/images/ISIC_0033299.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0033299.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0033299.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0033299.npy,0.999998927116394,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033299.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0033299.png,32458,0.0831228047609329,0.0087262615561485,0.0087262615561485,0.0206686872988939,0.0309319011867046,0.0258161425590515,0.3658215403556824
ISIC_0025439,True,True,450,600,270000,1.3333333333333333,450,600,0.525537037037037,141895,normal,True,False,True,False,False,True,1,mel,1.0,malignant,141895,0.525537037037037,425.0486151020797,316.80101483491313,235.3898798407273,59,1,597,449,539,449,ham10000,ham10000_ISIC_0025439,../data/ham10000/images/ISIC_0025439.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025439.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0025439.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0025439.npy,0.999929666519165,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025439.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0025439.png,26362,0.2401562929153442,0.0131119545549154,0.0131119545549154,0.0189800634980201,0.0262942612171173,0.0220994725823402,0.3685977756977081
ISIC_0034034,True,True,450,600,270000,1.3333333333333333,450,600,0.1073777777777777,28992,normal,True,False,False,False,False,False,0,mel,1.0,malignant,28992,0.1073777777777777,192.12954192669548,282.2438258830022,225.07729718543047,172,131,393,318,222,188,ham10000,ham10000_ISIC_0034034,../data/ham10000/images/ISIC_0034034.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0034034.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0034034.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0034034.npy,0.9998170733451844,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0034034.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0034034.png,5377,0.1407848298549652,0.062804214656353,0.062804214656353,0.079422689974308,0.1083354279398918,0.0918234288692474,0.3419091701507568
ISIC_0032624,True,True,450,600,270000,1.3333333333333333,450,600,0.1183333333333333,31950,normal,True,False,False,False,False,False,0,mel,1.0,malignant,31950,0.1183333333333333,201.69284433089948,291.9868544600939,229.5235054773083,174,97,407,362,234,266,ham10000,ham10000_ISIC_0032624,../data/ham10000/images/ISIC_0032624.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0032624.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0032624.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0032624.npy,0.968142569065094,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0032624.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0032624.png,5935,0.3388374149799347,0.0414119325578212,0.0414119325578212,0.0788895040750503,0.1240021288394928,0.1045356765389442,0.3931903839111328
ISIC_0027622,True,True,450,600,270000,1.3333333333333333,450,600,0.4073185185185185,109976,normal,True,False,False,False,False,False,0,mel,1.0,malignant,109976,0.4073185185185185,374.20020332944,301.6799938168328,252.07460718702265,86,69,528,442,443,374,ham10000,ham10000_ISIC_0027622,../data/ham10000/images/ISIC_0027622.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0027622.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0027622.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0027622.npy,0.9997170567512512,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0027622.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0027622.png,20459,0.1032308489084243,0.0270844176411628,0.0270844176411628,0.0233549382537603,0.0305497497320175,0.0254582688212394,0.2791029512882232
ISIC_0033261,True,True,450,600,270000,1.3333333333333333,450,600,0.4878962962962963,131732,normal,True,False,False,False,False,False,0,mel,1.0,malignant,131732,0.4878962962962963,409.54412669094944,298.2842893146692,225.1429037743297,22,62,572,374,551,313,ham10000,ham10000_ISIC_0033261,../data/ham10000/images/ISIC_0033261.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0033261.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0033261.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0033261.npy,0.996776282787323,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033261.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0033261.png,24484,0.05791537463665,0.0158249679952859,0.0158249679952859,0.0291593149304389,0.0396728403866291,0.0335563085973262,0.2960999310016632
ISIC_0033611,True,True,450,600,270000,1.3333333333333333,450,600,0.086174074074074,23267,normal,True,False,False,False,False,False,0,mel,1.0,malignant,23267,0.086174074074074,172.1175891283428,298.4410108737697,244.57811492672025,203,158,399,317,197,160,ham10000,ham10000_ISIC_0033611,../data/ham10000/images/ISIC_0033611.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0033611.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0033611.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0033611.npy,0.9722108840942384,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033611.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0033611.png,4302,0.1006508618593216,0.0469664670526981,0.0469664670526981,0.0667987912893295,0.0896650850772857,0.0768138095736503,0.3088554739952087
ISIC_0027261,True,True,450,600,270000,1.3333333333333333,450,600,0.0655259259259259,17692,normal,True,False,False,False,False,False,0,mel,1.0,malignant,17692,0.0655259259259259,150.08715476500478,279.9376554374859,220.47111688898937,174,159,372,281,199,123,ham10000,ham10000_ISIC_0027261,../data/ham10000/images/ISIC_0027261.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0027261.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0027261.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0027261.npy,0.9989534616470336,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0027261.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0027261.png,3270,0.0984709486365318,0.0683196634054184,0.0683196634054184,0.0861441642045974,0.1071083173155784,0.0920723900198936,0.3872455656528473
ISIC_0025748,True,True,450,600,270000,1.3333333333333333,450,600,0.2815666666666667,76023,normal,True,False,False,False,False,False,0,mel,1.0,malignant,76023,0.2815666666666667,311.1197356475498,304.8333136024624,223.32161319600647,141,64,477,374,337,311,ham10000,ham10000_ISIC_0025748,../data/ham10000/images/ISIC_0025748.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025748.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0025748.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0025748.npy,0.9992870688438416,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0025748.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0025748.png,14140,0.1039603948593139,0.0281246360391378,0.0281246360391378,0.03868243470788,0.0471317656338214,0.0401255562901496,0.2598694562911987
ISIC_0033995,True,True,450,600,270000,1.3333333333333333,450,600,0.1459666666666666,39411,normal,True,False,False,False,False,False,0,mel,1.0,malignant,39411,0.1459666666666666,224.0081331058261,300.9221790870569,226.7247215244475,166,141,443,326,278,186,ham10000,ham10000_ISIC_0033995,../data/ham10000/images/ISIC_0033995.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0033995.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0033995.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0033995.npy,0.9675594568252563,mel,malignant,../outputs/pilot/pseudo_concepts/npz/ham10000/ISIC_0033995.npz,../outputs/pilot/pseudo_concepts/png_preview/ham10000/ISIC_0033995.png,7306,0.0938954278826713,0.0304751973599195,0.0304751973599195,0.0528642572462558,0.0675148218870163,0.0582756213843822,0.3196398019790649
