dataset,stem,safe_id,image_path,xai_gradcam_path,xai_shap_path,xai_lime_path,model_prob_malignant,dx,label_name
ham10000,ISIC_0033299,ham10000_ISIC_0033299,../data/ham10000/images/ISIC_0033299.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0033299.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0033299.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0033299.npy,0.999998927116394,mel,malignant
ham10000,ISIC_0025439,ham10000_ISIC_0025439,../data/ham10000/images/ISIC_0025439.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025439.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0025439.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0025439.npy,0.999929666519165,mel,malignant
ham10000,ISIC_0034034,ham10000_ISIC_0034034,../data/ham10000/images/ISIC_0034034.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0034034.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0034034.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0034034.npy,0.9998170733451843,mel,malignant
ham10000,ISIC_0032624,ham10000_ISIC_0032624,../data/ham10000/images/ISIC_0032624.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0032624.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0032624.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0032624.npy,0.968142569065094,mel,malignant
ham10000,ISIC_0027622,ham10000_ISIC_0027622,../data/ham10000/images/ISIC_0027622.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0027622.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0027622.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0027622.npy,0.9997170567512512,mel,malignant
ham10000,ISIC_0033261,ham10000_ISIC_0033261,../data/ham10000/images/ISIC_0033261.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0033261.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0033261.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0033261.npy,0.996776282787323,mel,malignant
ham10000,ISIC_0033611,ham10000_ISIC_0033611,../data/ham10000/images/ISIC_0033611.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0033611.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0033611.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0033611.npy,0.9722108840942383,mel,malignant
ham10000,ISIC_0027261,ham10000_ISIC_0027261,../data/ham10000/images/ISIC_0027261.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0027261.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0027261.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0027261.npy,0.9989534616470337,mel,malignant
ham10000,ISIC_0025748,ham10000_ISIC_0025748,../data/ham10000/images/ISIC_0025748.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0025748.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0025748.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0025748.npy,0.9992870688438416,mel,malignant
ham10000,ISIC_0033995,ham10000_ISIC_0033995,../data/ham10000/images/ISIC_0033995.jpg,../outputs/pilot/xai_maps/gradcam/ham10000_ISIC_0033995.npy,../outputs/pilot/xai_maps/shap/ham10000_ISIC_0033995.npy,../outputs/pilot/xai_maps/lime/ham10000_ISIC_0033995.npy,0.9675594568252563,mel,malignant
